Provisional_Death_Counts_for_Influenza__Pneumonia__and_COVID-19_20240928 (1),,,,,,,,,,,,,
Data As Of,Start Week,End Week,Jurisdiction,Age Group,Total Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Month-Year,,,,,,
11/02/2023,01/12/2020,01/18/2020,West Virginia,All Ages,543,36,Jan-2020,,,,,,
11/02/2023,01/12/2020,01/18/2020,Wisconsin,All Ages,1152,54,Jan-2020,,,,,,
11/02/2023,01/12/2020,01/18/2020,Wyoming,All Ages,113,11,Jan-2020,,,,,,
11/02/2023,01/12/2020,01/18/2020,HHS Region 1,All Ages,2693,212,Jan-2020,,,,,,
11/02/2023,01/12/2020,01/18/2020,HHS Region 2,All Ages,4826,425,Jan-2020,,,,,,
11/02/2023,01/12/2020,01/18/2020,HHS Region 3,All Ages,6172,412,Jan-2020,,,,,,
11/02/2023,01/12/2020,01/18/2020,HHS Region 4,All Ages,13241,1020,Jan-2020,,,,,,
11/02/2023,01/12/2020,01/18/2020,HHS Region 5,All Ages,10231,676,Jan-2020,,,,,,
11/02/2023,01/12/2020,01/18/2020,HHS Region 6,All Ages,7103,551,Jan-2020,,,,,,
11/02/2023,01/12/2020,01/18/2020,HHS Region 7,All Ages,2827,222,Jan-2020,,,,,,
11/02/2023,01/12/2020,01/18/2020,HHS Region 8,All Ages,1887,133,Jan-2020,,,,,,
11/02/2023,01/12/2020,01/18/2020,HHS Region 9,All Ages,7850,710,Jan-2020,,,,,,
11/02/2023,01/12/2020,01/18/2020,HHS Region 10,All Ages,2387,161,Jan-2020,,,,,,
11/02/2023,01/19/2020,01/25/2020,United States,All Ages,59020,4406,Jan-2020,,,,,,
11/02/2023,01/19/2020,01/25/2020,Alabama,All Ages,1090,78,Jan-2020,,,,,,
11/02/2023,01/19/2020,01/25/2020,Alaska,All Ages,102,,Jan-2020,,,,,,
11/02/2023,01/19/2020,01/25/2020,Arizona,All Ages,1239,102,Jan-2020,,,,,,
11/02/2023,01/19/2020,01/25/2020,Arkansas,All Ages,621,44,Jan-2020,,,,,,
11/02/2023,01/19/2020,01/25/2020,California,All Ages,5800,514,Jan-2020,,,,,,
11/02/2023,01/19/2020,01/25/2020,Colorado,All Ages,847,71,Jan-2020,,,,,,
11/02/2023,01/19/2020,01/25/2020,Connecticut,All Ages,649,36,Jan-2020,,,,,,
11/02/2023,01/19/2020,01/25/2020,Delaware,All Ages,202,12,Jan-2020,,,,,,
11/02/2023,01/19/2020,01/25/2020,District of Columbia,All Ages,102,,Jan-2020,,,,,,
11/02/2023,01/19/2020,01/25/2020,Florida,All Ages,4259,274,Jan-2020,,,,,,
11/02/2023,01/19/2020,01/25/2020,Georgia,All Ages,1816,130,Jan-2020,,,,,,
11/02/2023,01/19/2020,01/25/2020,Hawaii,All Ages,236,13,Jan-2020,,,,,,
11/02/2023,01/19/2020,01/25/2020,Idaho,All Ages,272,17,Jan-2020,,,,,,
11/02/2023,01/19/2020,01/25/2020,Illinois,All Ages,2294,182,Jan-2020,,,,,,
11/02/2023,01/19/2020,01/25/2020,Indiana,All Ages,1404,101,Jan-2020,,,,,,
11/02/2023,01/19/2020,01/25/2020,Iowa,All Ages,642,67,Jan-2020,,,,,,
11/02/2023,01/19/2020,01/25/2020,Kansas,All Ages,586,60,Jan-2020,,,,,,
11/02/2023,01/19/2020,01/25/2020,Kentucky,All Ages,951,85,Jan-2020,,,,,,
11/02/2023,01/19/2020,01/25/2020,Louisiana,All Ages,959,56,Jan-2020,,,,,,
11/02/2023,01/19/2020,01/25/2020,Maine,All Ages,315,30,Jan-2020,,,,,,
11/02/2023,01/19/2020,01/25/2020,Maryland,All Ages,1035,70,Jan-2020,,,,,,
11/02/2023,01/19/2020,01/25/2020,Massachusetts,All Ages,1304,99,Jan-2020,,,,,,
11/02/2023,01/19/2020,01/25/2020,Michigan,All Ages,2041,118,Jan-2020,,,,,,
11/02/2023,01/19/2020,01/25/2020,Minnesota,All Ages,952,78,Jan-2020,,,,,,
11/02/2023,01/19/2020,01/25/2020,Mississippi,All Ages,626,41,Jan-2020,,,,,,
11/02/2023,01/19/2020,01/25/2020,Missouri,All Ages,1310,83,Jan-2020,,,,,,
11/02/2023,01/19/2020,01/25/2020,Montana,All Ages,202,,Jan-2020,,,,,,
11/02/2023,01/19/2020,01/25/2020,Nebraska,All Ages,364,29,Jan-2020,,,,,,
11/02/2023,01/19/2020,01/25/2020,Nevada,All Ages,562,43,Jan-2020,,,,,,
11/02/2023,01/19/2020,01/25/2020,New Hampshire,All Ages,240,14,Jan-2020,,,,,,
11/02/2023,01/19/2020,01/25/2020,New Jersey,All Ages,1591,100,Jan-2020,,,,,,
11/02/2023,01/19/2020,01/25/2020,New Mexico,All Ages,414,42,Jan-2020,,,,,,
11/02/2023,01/19/2020,01/25/2020,New York,All Ages,2070,185,Jan-2020,,,,,,
11/02/2023,01/19/2020,01/25/2020,New York City,All Ages,1165,123,Jan-2020,,,,,,
11/02/2023,01/19/2020,01/25/2020,North Carolina,All Ages,1959,144,Jan-2020,,,,,,
11/02/2023,01/19/2020,01/25/2020,North Dakota,All Ages,138,12,Jan-2020,,,,,,
11/02/2023,01/19/2020,01/25/2020,Ohio,All Ages,2563,148,Jan-2020,,,,,,
11/02/2023,01/19/2020,01/25/2020,Oklahoma,All Ages,833,80,Jan-2020,,,,,,
11/02/2023,01/19/2020,01/25/2020,Oregon,All Ages,751,40,Jan-2020,,,,,,
11/02/2023,01/19/2020,01/25/2020,Pennsylvania,All Ages,2769,198,Jan-2020,,,,,,
11/02/2023,01/19/2020,01/25/2020,Rhode Island,All Ages,195,16,Jan-2020,,,,,,
11/02/2023,01/19/2020,01/25/2020,South Carolina,All Ages,1064,66,Jan-2020,,,,,,
11/02/2023,01/19/2020,01/25/2020,South Dakota,All Ages,155,13,Jan-2020,,,,,,
11/02/2023,01/19/2020,01/25/2020,Tennessee,All Ages,1446,124,Jan-2020,,,,,,
11/02/2023,01/19/2020,01/25/2020,Texas,All Ages,4065,326,Jan-2020,,,,,,
11/02/2023,01/19/2020,01/25/2020,Utah,All Ages,374,35,Jan-2020,,,,,,
11/02/2023,01/19/2020,01/25/2020,Vermont,All Ages,117,11,Jan-2020,,,,,,
11/02/2023,01/19/2020,01/25/2020,Virginia,All Ages,1477,89,Jan-2020,,,,,,
11/02/2023,01/19/2020,01/25/2020,Washington,All Ages,1189,82,Jan-2020,,,,,,
11/02/2023,01/19/2020,01/25/2020,West Virginia,All Ages,464,42,Jan-2020,,,,,,
11/02/2023,01/19/2020,01/25/2020,Wisconsin,All Ages,1097,62,Jan-2020,,,,,,
11/02/2023,01/19/2020,01/25/2020,Wyoming,All Ages,102,,Jan-2020,,,,,,
11/02/2023,01/19/2020,01/25/2020,HHS Region 1,All Ages,2820,206,Jan-2020,,,,,,
11/02/2023,01/19/2020,01/25/2020,HHS Region 2,All Ages,4826,408,Jan-2020,,,,,,
11/02/2023,01/19/2020,01/25/2020,HHS Region 3,All Ages,6049,420,Jan-2020,,,,,,
11/02/2023,01/19/2020,01/25/2020,HHS Region 4,All Ages,13211,942,Jan-2020,,,,,,
11/02/2023,01/19/2020,01/25/2020,HHS Region 5,All Ages,10351,689,Jan-2020,,,,,,
11/02/2023,01/19/2020,01/25/2020,HHS Region 6,All Ages,6892,548,Jan-2020,,,,,,
11/02/2023,01/19/2020,01/25/2020,HHS Region 7,All Ages,2902,239,Jan-2020,,,,,,
11/02/2023,01/19/2020,01/25/2020,HHS Region 8,All Ages,1818,141,Jan-2020,,,,,,
11/02/2023,01/19/2020,01/25/2020,HHS Region 9,All Ages,7837,672,Jan-2020,,,,,,
11/02/2023,01/19/2020,01/25/2020,HHS Region 10,All Ages,2314,141,Jan-2020,,,,,,
11/02/2023,01/26/2020,02/01/2020,United States,All Ages,58701,4290,Feb-2020,,,,,,
11/02/2023,01/26/2020,02/01/2020,Alabama,All Ages,1060,71,Feb-2020,,,,,,
11/02/2023,01/26/2020,02/01/2020,Alaska,All Ages,91,,Feb-2020,,,,,,
11/02/2023,01/26/2020,02/01/2020,Arizona,All Ages,1248,83,Feb-2020,,,,,,
11/02/2023,01/26/2020,02/01/2020,Arkansas,All Ages,689,65,Feb-2020,,,,,,
11/02/2023,01/26/2020,02/01/2020,California,All Ages,5665,485,Feb-2020,,,,,,
11/02/2023,01/26/2020,02/01/2020,Colorado,All Ages,787,50,Feb-2020,,,,,,
11/02/2023,01/26/2020,02/01/2020,Connecticut,All Ages,673,53,Feb-2020,,,,,,
11/02/2023,01/26/2020,02/01/2020,Delaware,All Ages,197,16,Feb-2020,,,,,,
11/02/2023,01/26/2020,02/01/2020,District of Columbia,All Ages,122,11,Feb-2020,,,,,,
11/02/2023,01/26/2020,02/01/2020,Florida,All Ages,4301,268,Feb-2020,,,,,,
11/02/2023,01/26/2020,02/01/2020,Georgia,All Ages,1797,98,Feb-2020,,,,,,
11/02/2023,01/26/2020,02/01/2020,Hawaii,All Ages,243,18,Feb-2020,,,,,,
11/02/2023,01/26/2020,02/01/2020,Idaho,All Ages,253,13,Feb-2020,,,,,,
11/02/2023,01/26/2020,02/01/2020,Illinois,All Ages,2213,179,Feb-2020,,,,,,
11/02/2023,01/26/2020,02/01/2020,Indiana,All Ages,1370,100,Feb-2020,,,,,,
11/02/2023,01/26/2020,02/01/2020,Iowa,All Ages,626,56,Feb-2020,,,,,,
11/02/2023,01/26/2020,02/01/2020,Kansas,All Ages,567,47,Feb-2020,,,,,,
11/02/2023,01/26/2020,02/01/2020,Kentucky,All Ages,981,98,Feb-2020,,,,,,
